-20.0,8.0,1.0,0.52
-5.0,-4.0,1.0,0.45
-30.0,-6.0,1.0,0.55
15.0,8.0,1.0,0.48
30.0,1.0,-1.0,0.42
-15.0,-2.0,1.0,0.39
-20.0,-16.0,-1.0,0.38
-10.0,-2.0,1.0,0.32
0.0,-4.0,-1.0,0.59
35.0,-6.0,-1.0,0.40
15.0,8.0,-1.0,0.40
15.0,-4.0,1.0,0.87
-15.0,1.0,1.0,0.63
-30.0,-4.0,1.0,0.37
15.0,-16.0,-1.0,0.42
-5.0,-2.0,1.0,0.43
20.0,-2.0,-1.0,0.33
-15.0,8.0,1.0,0.33
-30.0,1.0,1.0,0.38
0.0,-12.0,-1.0,0.46
-30.0,4.0,1.0,0.35
5.0,8.0,1.0,0.49
-45.0,4.0,1.0,0.38
-40.0,-16.0,-1.0,0.41
5.0,-9.0,1.0,0.31
-5.0,-16.0,-1.0,0.37
-5.0,1.0,1.0,0.38
30.0,-4.0,-1.0,0.34
35.0,-2.0,-1.0,0.40
-10.0,8.0,1.0,0.31
25.0,8.0,1.0,0.53
-45.0,8.0,1.0,0.37
-35.0,-9.0,-1.0,0.51
-20.0,-4.0,1.0,0.30
25.0,-16.0,-1.0,0.34
-35.0,-4.0,1.0,0.53
40.0,-4.0,1.0,0.39
20.0,-6.0,-1.0,0.44
-35.0,-16.0,-1.0,0.45
40.0,-2.0,1.0,0.74
15.0,4.0,1.0,0.58
25.0,-9.0,-1.0,0.50
-25.0,-16.0,-1.0,0.48
25.0,-12.0,-1.0,0.39
-25.0,-9.0,-1.0,0.47
-15.0,4.0,1.0,0.32
5.0,1.0,1.0,0.32
-15.0,-12.0,1.0,0.50
-40.0,-9.0,-1.0,0.74
5.0,-2.0,-1.0,0.39
-30.0,-16.0,-1.0,0.39
-25.0,4.0,1.0,0.39
25.0,-2.0,-1.0,0.52
-5.0,-9.0,-1.0,0.55
0.0,-6.0,-1.0,0.41
-40.0,1.0,1.0,0.34
25.0,-6.0,-1.0,0.46
-20.0,-6.0,1.0,0.40
-40.0,-2.0,1.0,0.55
30.0,-12.0,-1.0,0.36
5.0,-6.0,-1.0,0.51
35.0,-4.0,-1.0,0.59
40.0,-12.0,-1.0,0.49
35.0,-12.0,-1.0,0.48
5.0,-4.0,-1.0,0.58
20.0,8.0,1.0,0.34
30.0,4.0,1.0,0.48
30.0,-6.0,1.0,0.52
20.0,-16.0,-1.0,0.34
15.0,-9.0,-1.0,0.35
25.0,4.0,-1.0,0.40
20.0,-12.0,-1.0,0.65
35.0,1.0,-1.0,0.45
15.0,-6.0,-1.0,0.68
-45.0,-2.0,-1.0,0.54
10.0,4.0,1.0,0.43
-30.0,-12.0,1.0,0.55
-45.0,-16.0,-1.0,0.61
0.0,8.0,1.0,0.49
-5.0,-6.0,1.0,0.89
10.0,-4.0,-1.0,0.35
-40.0,-12.0,-1.0,0.39
-35.0,-2.0,1.0,0.40
-10.0,1.0,1.0,0.36
35.0,4.0,1.0,0.45
-20.0,1.0,1.0,0.44
-25.0,-6.0,1.0,0.49
-35.0,1.0,1.0,0.52
-10.0,-16.0,-1.0,0.53
-25.0,-12.0,-1.0,1.04
-10.0,4.0,1.0,0.35
-45.0,1.0,1.0,0.42
5.0,-12.0,-1.0,0.44
20.0,1.0,1.0,0.82
-15.0,-6.0,1.0,0.50
-15.0,-9.0,1.0,0.52
-45.0,-4.0,1.0,0.46
10.0,-2.0,-1.0,0.44
-35.0,-12.0,-1.0,0.36
-35.0,8.0,1.0,0.53
-10.0,-6.0,1.0,0.42
-35.0,-6.0,1.0,0.55
10.0,-16.0,-1.0,0.42
-40.0,8.0,1.0,0.45
40.0,4.0,1.0,0.51
-35.0,4.0,1.0,0.40
0.0,4.0,1.0,0.46
-40.0,4.0,1.0,0.45
40.0,-9.0,-1.0,0.38
25.0,-4.0,-1.0,0.42
-25.0,-4.0,-1.0,0.53
10.0,-6.0,1.0,2.67
0.0,-16.0,-1.0,0.46
-5.0,-4.0,1.0,0.48
20.0,4.0,1.0,0.59
5.0,4.0,1.0,0.52
35.0,8.0,1.0,0.47
40.0,1.0,1.0,0.42
10.0,1.0,1.0,0.48
-5.0,8.0,1.0,0.55
0.0,1.0,1.0,0.75
-25.0,8.0,1.0,0.48
-10.0,-9.0,-1.0,0.61
-30.0,-2.0,1.0,0.92
25.0,1.0,-1.0,0.59
-10.0,-12.0,-1.0,0.75
0.0,-9.0,-1.0,0.39
-40.0,-4.0,-1.0,0.37
40.0,8.0,1.0,0.43
30.0,-16.0,-1.0,0.43
20.0,-9.0,-1.0,0.44
40.0,-6.0,-1.0,0.51
-30.0,-9.0,1.0,0.49
15.0,-2.0,1.0,0.78
-15.0,-16.0,1.0,0.49
-40.0,-6.0,1.0,0.46
30.0,-2.0,1.0,0.48
-15.0,-4.0,1.0,0.50
10.0,8.0,1.0,0.43
-30.0,8.0,1.0,0.43
-20.0,-9.0,-1.0,0.83
35.0,-16.0,-1.0,0.33
-20.0,-12.0,-1.0,0.46
-20.0,8.0,1.0,0.38
30.0,-9.0,-1.0,0.42
-5.0,-12.0,-1.0,0.46
-45.0,-6.0,1.0,0.50
20.0,-4.0,1.0,0.97
0.0,-2.0,1.0,0.48
-10.0,-4.0,1.0,0.37
30.0,1.0,1.0,0.42
-25.0,1.0,1.0,0.62
15.0,1.0,-1.0,0.40
-25.0,-2.0,1.0,0.52
-5.0,4.0,1.0,0.43
-45.0,-9.0,-1.0,0.39
-20.0,4.0,1.0,0.44
-20.0,-2.0,1.0,0.47
-30.0,-6.0,-1.0,0.69
5.0,-16.0,-1.0,0.39
15.0,-12.0,-1.0,0.33
10.0,-12.0,-1.0,0.38
-45.0,-12.0,-1.0,0.48
35.0,-9.0,-1.0,0.38
40.0,-16.0,-1.0,0.56
30.0,8.0,-1.0,0.39
10.0,-9.0,-1.0,0.51
-30.0,-2.0,1.0,0.37
-15.0,-6.0,1.0,0.55
20.0,1.0,-1.0,0.29
0.0,1.0,1.0,0.41
-25.0,1.0,1.0,0.47
25.0,1.0,-1.0,0.49
-30.0,1.0,1.0,0.37
10.0,-9.0,-1.0,0.40
10.0,-6.0,-1.0,0.32
5.0,-12.0,-1.0,0.37
-40.0,-16.0,-1.0,0.31
5.0,-6.0,-1.0,0.38
25.0,8.0,1.0,0.90
